	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
277	Godrej Avenues	Godrej Properties	Yelahanka	Under Construction	Godrej Avenues, located in Yelahanka Bangalore, offers apartments, with the price being on request. Located 14 kilometres north of Bangalore, this area is famous for its lakes. In recent times, a number of corporate giants have set up their offices in Yelahanka. NH 7 connects this area with the International Airport. It is also served widely by BMTC and KTC buses. The demand for property in Yelahanka is on an increasing trend, which is evident from the fact that there are presently 51 ongoing projects. State Highway 9 also passes through this area. Yelahanka hosts a number of reputed educational institutions, hospitals, shopping complexes, etc.	Possession date: Dec'19	1721 sq ft(3BHK+3T)	3 BHK	629 - 1,721 sq ft	₹ 29.56 L - ₹ 80.87 L	1, 2, 3 BHK	420	RERA ID: PR/KN/170728/000229
278	Pramuk MM Meridian	Pramuk Infracon	Jayanagar	Under Construction	Pramuk Infracon MM Meridian Bangalore comes with 3 and 4 BHK apartments for buyers. Average home sizes range between 2344 and 3540 sq. ft. at this project and it consists of a total of 150 units. Key amenities on offer at this project include a well equipped gymnasium, 24 hour security services, swimming pool, power backup facilities, car parking facilities, playing zone for kids, intercom facilities, landscaped gardens and indoor game facilities. Added amenities on offer at this project include a helipad, carom facilities, air conditioning, waste disposal system, lifts, billiards and table tennis, spa and sauna, party hall, meditation hall and amphitheatre among others. Located at Banashankari, the project is well linked to places like Padmanabhanagar, Rajarajeshwari Nagar, Kumaraswamy Layout and J P Nagar. .	Possession date: May'19	3540 sq ft(4BHK+4T   Servant Room)	4 BHK	2,236 - 3,540 sq ft	₹ 2.46 Cr - ₹ 3.89 Cr	3, 4 BHK	100	RERA ID: PR/KN/170729/000128
279	Habitat Aura	Habitat	Hulimavu	Pre Launch		Possession date: Dec'20	2000 sq ft(3BHK+3T + Study Room)	3 BHK	1,300 - 2,000 sq ft	₹ 61.75 L - ₹ 95.00 L	2, 3 BHK	220	
280	Mahima Nest	Mahima	Hebbal	On Hold	You do not just step into a new home. You step into a world of reassurance. Where every detail carefully woven like birds nest. Extra care has been taken to make everything look great and feel good. Everything you want id near, anything else you need is nearby. At Mahima, we do not believe in selling mere promises but instead creating expedience that keep you rejuvenated round the clock. Its close proximity to all major facilities like banks, malls, schools, colleges, cinema, makes it a unique location to own one proudly.	Possession started from: Dec'17	2320 sq ft(3BHK+3T)	3 BHK	1,160 - 2,320 sq ft	₹ 45.01 L - ₹ 90.02 L	2, 3 BHK	44	
281	Unishire Signet	Unishire Projects Pvt Ltd	Hebbal	On Hold	Signet by Unishire, located in Hebbal, Bangalore, offers apartments, with the price being on request. The amenities include gymnasium, swimming pool, club house, sports facility, rainwater harvesting, intercom, 24x7 security, power backup, landscaped gardens, indoor games, car parking, party hall, CCTV surveillance, firefighting equipment, etc. Located in the north end of Bangalore, this area is home to the famous Hebbal Lake. It also hosts several business establishments like Manyata Tech Park and Kirloskar Business Park, which in turn is hub of the largest corporate houses such as IBM, Philips Software, Bharat Electronics Limited etc. its proximity to the Bangalore International Airport as well as its efficient connectivity to the key parts of Bangalore makes it a sought-after business and residential destination. The average apartment price here is Rs. 5561 per sq ft. It is also well-equipped with social infrastructure.	Possession date: May'18	2681 sq ft(3BHK+3T)	3 BHK	1,344 - 2,681 sq ft	₹ 1.24 Cr - ₹ 2.47 Cr	3 BHK	50	
282	KBR Elite	KBR Homes	Hebbal	Under Construction	Hebbal in Bengaluru has ready to move in project of premium apartments by the KBR Homes Elite Real Estate Company. The neighbourhood is well settled with high schools, bank, primary schools, play schools, ATMs, hospitals, office complex, play schools, bus stand, and restaurants etc facilities near at hand. Other amenities that this project offers are a community with gates, a nice landscape, well maintained sewage lines, a gym, rain water harvesting system, security service, a jogging track, there is an availability of parking in low rise scheme along with a childrens playground area. The price of the apartments is based on the request value.	Possession date: Dec'18	2990 sq ft(3BHK+3T + Servant Room)	3 BHK	2,120 - 2,990 sq ft	₹ 1.38 Cr - ₹ 1.94 Cr	3 BHK	38	
283	Shriram Hebbal One	Shriram Properties	Hebbal	Under Construction	Hebbal One is a project helmed by Shriram Properties and comes with 3 BHK apartments for buyers. The project spreads over an area of 1.3 acres. The project offers several amenities to residents, including a community hall, swimming pool, clubhouse, gymnasium, playing zone for kids and landscaped gardens. The project is well connected to several areas in Bangalore through the Bellary road and the Outer Ring Roads. The Bangalore International Airport is located approximately 29.2 kilometres away from the project. Added amenities for residents include power backup, basketball post, skating rink, jogging track, library, Wi-Fi connectivity and a lift.	Possession date: Mar'19	2475 sq ft(3BHK+3T + Servant Room)	3 BHK	1,685 - 2,475 sq ft	₹ 1.09 Cr - ₹ 1.61 Cr	3 BHK	160	RERA ID: PR/KN/170805/001159
284	Sterling Pointe	Sterling	Hebbal	Under Construction	A premium housing project launched by Sterling, Pointe in Hebbal, Bangalore is offering Apartment starting at Rs 1.02 crore. It offers 3 BHK Apartment in Bangalore North. The project is Under Construction project and possession in Dec 18. Among the many luxurious amenities that the project boasts are Car Parking, Security Gate, Club House, Swimming Pool, Water Purification Plant etc. The Apartment are available from 1640 sqft to 1805 sqft at an attractive price points starting at @Rs 6,200 per sqft.	Possession date: Sep'19	1805 sq ft(3BHK+3T)	3 BHK	1,640 - 1,805 sq ft	₹ 1.03 Cr - ₹ 1.14 Cr	3 BHK	40	RERA ID: PR/KN/170728/000148
285	RK Suraksha Landmark	R K Properties	Hulimavu	On Hold	Suraksha Landmark by R K Properties, located in Bannerghatta, Bangalore, offers apartments. The amenities include childrenâ€™s play area, 24x7 security, jogging track, landscaped gardens, sewerage and drainage system, uninterrupted water supply, and site for dispensary. The well known schools in this area include Sri Chaitanya School, VIBGYOR High School, Sarathy English School, Techno Smart School, Mother Teresa Convent, Shrine Public School etc. The prestigious hospitals such as Medineuro Speciality Clinic, Vijayashree Hospitals, Dheeksha Health Care Centre, Mathru Sri Nursing Home, T R Hospital, Sri Krishna Hospital, SCC Hospital, Sri Sai Maternity Clinic, Srinivasa Cancer Care Hospital and a few more offer quality medical facilities to the residents in this locality.	Possession started from: Jun'16	1800 sq ft(3BHK+2T)	3 BHK	1,035 - 1,800 sq ft	₹ 51.75 L - ₹ 90.00 L	2, 3 BHK	126	
286	Eternity Epic	Eternity Structures	Hulimavu	Under Construction		Possession date: Dec'18	1576 sq ft(3BHK+3T)	3 BHK	1,020 - 1,576 sq ft	₹ 41.82 L - ₹ 64.62 L	2, 3 BHK	36	
287	Shravanthi Pallazo	Shravanthi	Gottigere	On Hold	Bengaluru is a developing area and it is becoming more facilitated due to the partial real estate projects. Shravanthi Pallazo Company has developed well-appointed apartments in the Gottigere region. The entire project is all set for moving in and the area of each apartment and its price is based on the request value. The required necessities like parks, petrol pumps, schools, ATMs, banks, hospitals, bus stations, railway stations, higher education facilities, restaurants, parks, office complexes etc in the neighbourhood. The amenities provided by this project are parking facility for each and every apartment, and 24 hours security system along with a power back up system that works for 24 hours. This area is well connected to the major parts of the city.	Possession date: Jul'19	1500 sq ft(3BHK+3T)	3 BHK	440 - 1,500 sq ft	₹ 13.20 L - ₹ 44.98 L	1, 2, 3 BHK	240	
288	SNR Wind Mill	SNR Square	Gottigere	Under Construction	SNR Square Wind Mill is a new residential project by SNR Square located in Bannerghatta, Bangalore. Wind Mill offers 50 units of 2 and 3-BHK apartments with sizes ranging from 1,100 sq. ft. to 1,450 sq. ft. The apartments are Vaastu compliant and provide amenities like gymnasium, rain water harvesting facility, children’s play area, intercom facility, power backup, multipurpose hall and 24x7 security. Bannerghatta is a popular place to have property in Bangalore. It houses many well-known schools like AL- BASHEER International School, Sarathy English School, Mother Theresa Covent and Shrine Public School. Some key hospitals operating in this area include Vijayashree Hospitals, Medineuro Speciality Clinic and KVG Hospital. Affordably priced between 30.3 lacs and 39.9 lacs, SNR Square Wind Mill creates a life of joy and comfort for its residents.	Possession date: Nov'18	1450 sq ft(3BHK+2T)	3 BHK	1,100 - 1,450 sq ft	₹ 31.35 L - ₹ 41.33 L	2, 3 BHK	50	
289	Loharuka Solaris	Loharuka Group	Gottigere	Under Construction	Loharuka Group Solaris real estate association has amazed the market by building the best housing place project in Gottigere region of Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by this company and housing complex are a playground for the children and a nice green garden, 24 hours security, car parking and much more. The location has the benefit of other services like hospitals, banking, ATMs, petrol pumps, bus stations, schools, railway stations, restaurants, play schools etc. at a very short distance. The price of the apartments is depended on the request value.	Possession date: Jan'21	1729 sq ft(3BHK+3T)	3 BHK	1,090 - 1,729 sq ft	₹ 64.31 L - ₹ 1.02 Cr	2, 3 BHK	180	RERA ID: PR/KN/170731/000883
290	Salarpuria Casa Irene	Salarpuria Sattva Group	Gottigere	Under Construction	Salarpuria Casa Irene Bangalore offers 3 BHK apartments to buyers. The project comes with several amenities for residents including a well-equipped gymnasium, club house, playing area for kids, swimming pool, jogging track, multipurpose room, squash court, 24 hour security services, congregation space, spa and sauna, gazebo, library, party hall, viewing deck, half basketball court, waste management system, tennis court and more. Located at Gottigere, the project offers great connectivity to several areas including Vasanth Nagar, Chikballapur, Bommasandra, Frazer Town, Jalahalli, Brookefield, Varthur, JP Nagar Phase 7, Jakkur and Begur among others.	Possession date: Jun'19	2378 sq ft(3BHK+3T + Pooja Room)	3 BHK	1,894 - 2,378 sq ft	₹ 1.15 Cr - ₹ 1.45 Cr	3 BHK	228	
291	Soorya Square	Soorya Homes	Yelahanka	On Hold	Yehlahanka in Bangalore is a growing region which has many projects going on. The Soorya Homes Square Company is offering great apartments in this region in a project which is still under construction. There are many facilities nearby this area like bank, ATM's, restaurant, petrol pump, shopping mall, higher education facilities, commercial complex, hospital, park, school, play school, office complex, bus station, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a children's playground is also provided by the project. The cost of the apartments is based on the request value.	Possession started from: Dec'17	1650 sq ft(3BHK+3T)	3 BHK	1,140 - 1,650 sq ft	₹ 49.50 L - ₹ 58.50 L	2, 3 BHK	12	
292	Fortuna Ultima	Fortuna Constructions	Yelahanka	On Hold		Possession date: Dec'18	1730 sq ft(3BHK+3T)	3 BHK	1,400 - 1,730 sq ft	₹ 77.00 L - ₹ 95.15 L	2, 3 BHK	250	
293	Triguna Palm Grove	Triguna Projects	Yelahanka	Under Construction		Possession date: Dec'19	1266 sq ft(3BHK+3T)	3 BHK	806 - 1,266 sq ft	₹ 28.20 L - ₹ 44.30 L	2, 3 BHK	28	
